,iteration,subject,session,run,task,ts_CAPS,pearson_r
201,9,sub-03,ses-01,run-01,task-checker,tsCAP8,-0.043992249661655006
202,10,sub-03,ses-01,run-01,task-checker,tsCAP5,-0.2928613166460455
203,10,sub-03,ses-01,run-01,task-checker,tsCAP6,-0.37661711705287315
204,10,sub-03,ses-01,run-01,task-checker,tsCAP7,-0.014157535769306779
205,10,sub-03,ses-01,run-01,task-checker,tsCAP8,-0.20491052417675104
206,1,sub-05,ses-02,run-01,task-checker,tsCAP1,-0.13149070635131027
207,1,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.23252630557828882
208,1,sub-05,ses-02,run-01,task-checker,tsCAP3,0.03724774486666478
209,1,sub-05,ses-02,run-01,task-checker,tsCAP4,-0.11291764238084903
210,1,sub-05,ses-02,run-01,task-checker,tsCAP5,0.26501369893765275
211,1,sub-05,ses-02,run-01,task-checker,tsCAP6,0.04361579094028506
212,1,sub-05,ses-02,run-01,task-checker,tsCAP7,-0.17749788820332432
213,1,sub-05,ses-02,run-01,task-checker,tsCAP8,-0.35617951435433304
214,2,sub-05,ses-02,run-01,task-checker,tsCAP1,-0.12285508720264698
215,2,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.2939528956768548
216,2,sub-05,ses-02,run-01,task-checker,tsCAP3,0.23078546469589215
217,2,sub-05,ses-02,run-01,task-checker,tsCAP4,0.20454842051519584
218,2,sub-05,ses-02,run-01,task-checker,tsCAP5,0.05666822982502473
219,2,sub-05,ses-02,run-01,task-checker,tsCAP6,-0.08668934073690629
220,2,sub-05,ses-02,run-01,task-checker,tsCAP7,0.23895961123011644
221,2,sub-05,ses-02,run-01,task-checker,tsCAP8,0.21813974315078066
222,3,sub-05,ses-02,run-01,task-checker,tsCAP1,-0.16597112172080772
223,3,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.19959136301567793
224,3,sub-05,ses-02,run-01,task-checker,tsCAP3,0.10811150107856662
