,iteration,subject,session,run,task,ts_CAPS,pearson_r,eye_features,eeg_features_channel,eeg_features_band
82,10,sub-09,ses-01,run-01,task-checker,tsCAP3,-0.04654799996056263,['first_derivative'],NA,NA
83,10,sub-09,ses-01,run-01,task-checker,tsCAP4,-0.09699166269517659,['pupil_dilation'],NA,NA
84,10,sub-09,ses-01,run-01,task-checker,tsCAP5,-0.010354331824476691,['first_derivative'],NA,NA
85,10,sub-09,ses-01,run-01,task-checker,tsCAP6,0.05780401193668197,['second_derivative'],NA,NA
86,10,sub-09,ses-01,run-01,task-checker,tsCAP7,-0.07635989161769736,['pupil_dilation'],NA,NA
87,10,sub-09,ses-01,run-01,task-checker,tsCAP8,0.007328037503424859,['first_derivative'],NA,NA
88,10,sub-11,ses-01,run-01,task-checker,tsCAP1,0.0880301056763519,['second_derivative'],NA,NA
89,10,sub-11,ses-02,run-01,task-checker,tsCAP1,0.24966759114496273,['second_derivative'],NA,NA
90,10,sub-11,ses-01,run-01,task-checker,tsCAP2,0.21990656059403066,['pupil_dilation'],NA,NA
91,10,sub-11,ses-02,run-01,task-checker,tsCAP2,0.22962653941118424,['pupil_dilation'],NA,NA
92,10,sub-11,ses-01,run-01,task-checker,tsCAP3,-0.010590477757089623,['first_derivative'],NA,NA
93,10,sub-11,ses-02,run-01,task-checker,tsCAP3,0.29460060058977877,['first_derivative'],NA,NA
94,10,sub-11,ses-01,run-01,task-checker,tsCAP4,-0.014766191668283543,['second_derivative'],NA,NA
95,10,sub-11,ses-02,run-01,task-checker,tsCAP4,0.2727421055570607,['second_derivative'],NA,NA
96,10,sub-11,ses-01,run-01,task-checker,tsCAP5,0.14744290060116205,['first_derivative'],NA,NA
97,10,sub-11,ses-02,run-01,task-checker,tsCAP5,0.2704693354392437,['first_derivative'],NA,NA
98,10,sub-11,ses-01,run-01,task-checker,tsCAP6,0.1092365625302297,['pupil_dilation'],NA,NA
99,10,sub-11,ses-02,run-01,task-checker,tsCAP6,0.29232411086872795,['pupil_dilation'],NA,NA
100,10,sub-11,ses-01,run-01,task-checker,tsCAP7,0.1103266245560967,['pupil_dilation'],NA,NA
101,10,sub-11,ses-02,run-01,task-checker,tsCAP7,0.13525116833729442,['pupil_dilation'],NA,NA
102,10,sub-11,ses-01,run-01,task-checker,tsCAP8,0.3045706865946727,['first_derivative'],NA,NA
103,10,sub-11,ses-02,run-01,task-checker,tsCAP8,0.20804953227271156,['first_derivative'],NA,NA
104,10,sub-12,ses-01,run-01,task-checker,tsCAP1,0.11519089929506982,['pupil_dilation'],NA,NA
105,10,sub-12,ses-02,run-01,task-checker,tsCAP1,0.2499784681820351,['pupil_dilation'],NA,NA
106,10,sub-12,ses-01,run-01,task-checker,tsCAP2,0.341736973608359,['first_derivative'],NA,NA
107,10,sub-12,ses-02,run-01,task-checker,tsCAP2,0.07168394056766358,['first_derivative'],NA,NA
108,10,sub-12,ses-01,run-01,task-checker,tsCAP3,0.21979993370939127,['second_derivative'],NA,NA
109,10,sub-12,ses-02,run-01,task-checker,tsCAP3,0.11094936103502155,['second_derivative'],NA,NA
110,10,sub-12,ses-01,run-01,task-checker,tsCAP4,0.14151970031733002,['pupil_dilation'],NA,NA
111,10,sub-12,ses-02,run-01,task-checker,tsCAP4,0.1654593039344596,['pupil_dilation'],NA,NA
112,10,sub-12,ses-01,run-01,task-checker,tsCAP5,-0.25881579949543293,['second_derivative'],NA,NA
113,10,sub-12,ses-02,run-01,task-checker,tsCAP5,0.3224401055128248,['second_derivative'],NA,NA
114,10,sub-12,ses-01,run-01,task-checker,tsCAP6,-0.19439491028899875,['pupil_dilation'],NA,NA
115,10,sub-12,ses-02,run-01,task-checker,tsCAP6,0.29308039407205183,['pupil_dilation'],NA,NA
116,10,sub-12,ses-01,run-01,task-checker,tsCAP7,0.28470987660746805,['pupil_dilation'],NA,NA
117,10,sub-12,ses-02,run-01,task-checker,tsCAP7,0.41854274383622286,['pupil_dilation'],NA,NA
118,10,sub-12,ses-01,run-01,task-checker,tsCAP8,0.28826496288350567,['pupil_dilation'],NA,NA
119,10,sub-12,ses-02,run-01,task-checker,tsCAP8,0.3983819381718302,['pupil_dilation'],NA,NA
120,10,sub-13,ses-01,run-01,task-checker,tsCAP1,0.37801419225406735,['second_derivative'],NA,NA
121,10,sub-13,ses-02,run-01,task-checker,tsCAP1,0.1871245801210856,['second_derivative'],NA,NA
122,10,sub-13,ses-01,run-01,task-checker,tsCAP2,0.6038908576016693,['pupil_dilation'],NA,NA
123,10,sub-13,ses-02,run-01,task-checker,tsCAP2,0.3538926627965189,['pupil_dilation'],NA,NA
124,10,sub-13,ses-01,run-01,task-checker,tsCAP3,0.07298224038256942,['first_derivative'],NA,NA
125,10,sub-13,ses-02,run-01,task-checker,tsCAP3,0.37310349151972755,['first_derivative'],NA,NA
126,10,sub-13,ses-01,run-01,task-checker,tsCAP4,0.05012738513912311,['second_derivative'],NA,NA
127,10,sub-13,ses-02,run-01,task-checker,tsCAP4,0.303751142300849,['second_derivative'],NA,NA
128,10,sub-13,ses-01,run-01,task-checker,tsCAP5,0.5344247251220748,['first_derivative'],NA,NA
129,10,sub-13,ses-02,run-01,task-checker,tsCAP5,0.36473465387647325,['first_derivative'],NA,NA
130,10,sub-13,ses-01,run-01,task-checker,tsCAP6,0.6107083554335251,['pupil_dilation'],NA,NA
131,10,sub-13,ses-02,run-01,task-checker,tsCAP6,0.4037489683762169,['pupil_dilation'],NA,NA
132,10,sub-13,ses-01,run-01,task-checker,tsCAP7,0.5637678744232327,['pupil_dilation'],NA,NA
133,10,sub-13,ses-02,run-01,task-checker,tsCAP7,0.06144530951154278,['pupil_dilation'],NA,NA
134,10,sub-13,ses-01,run-01,task-checker,tsCAP8,0.5576439673299397,['first_derivative'],NA,NA
135,10,sub-13,ses-02,run-01,task-checker,tsCAP8,0.10464252818671417,['first_derivative'],NA,NA
136,10,sub-14,ses-01,run-01,task-checker,tsCAP1,0.40808055735789717,['pupil_dilation'],NA,NA
137,10,sub-14,ses-02,run-01,task-checker,tsCAP1,0.39769971025752576,['pupil_dilation'],NA,NA
138,10,sub-14,ses-01,run-01,task-checker,tsCAP2,0.2007824924397572,['first_derivative'],NA,NA
139,10,sub-14,ses-02,run-01,task-checker,tsCAP2,0.22797417482352728,['first_derivative'],NA,NA
140,10,sub-14,ses-01,run-01,task-checker,tsCAP3,0.3452845903316369,['second_derivative'],NA,NA
141,10,sub-14,ses-02,run-01,task-checker,tsCAP3,0.24927969028940863,['second_derivative'],NA,NA
142,10,sub-14,ses-01,run-01,task-checker,tsCAP4,0.557140107316494,['pupil_dilation'],NA,NA
143,10,sub-14,ses-02,run-01,task-checker,tsCAP4,0.545098430222439,['pupil_dilation'],NA,NA
144,10,sub-14,ses-01,run-01,task-checker,tsCAP5,-0.049649535206083256,['second_derivative'],NA,NA
145,10,sub-14,ses-02,run-01,task-checker,tsCAP5,-0.176099074378559,['second_derivative'],NA,NA
146,10,sub-14,ses-01,run-01,task-checker,tsCAP6,-0.19928765309839064,['pupil_dilation'],NA,NA
147,10,sub-14,ses-02,run-01,task-checker,tsCAP6,-0.1929718865573246,['pupil_dilation'],NA,NA
148,10,sub-14,ses-01,run-01,task-checker,tsCAP7,0.039608305192489084,['pupil_dilation'],NA,NA
149,10,sub-14,ses-02,run-01,task-checker,tsCAP7,-0.14692906910183773,['pupil_dilation'],NA,NA
150,10,sub-14,ses-01,run-01,task-checker,tsCAP8,0.012249545536530222,['pupil_dilation'],NA,NA
151,10,sub-14,ses-02,run-01,task-checker,tsCAP8,-0.17877186447304858,['pupil_dilation'],NA,NA
152,10,sub-15,ses-01,run-01,task-checker,tsCAP1,-0.48116694463798476,['pupil_dilation'],NA,NA
153,10,sub-15,ses-02,run-01,task-checker,tsCAP1,-0.03972624652105276,['pupil_dilation'],NA,NA
154,10,sub-15,ses-01,run-01,task-checker,tsCAP2,-0.03084569215868691,['first_derivative'],NA,NA
155,10,sub-15,ses-02,run-01,task-checker,tsCAP2,-0.1238942321185866,['first_derivative'],NA,NA
156,10,sub-15,ses-01,run-01,task-checker,tsCAP3,0.1672260939484098,['first_derivative'],NA,NA
157,10,sub-15,ses-02,run-01,task-checker,tsCAP3,0.19961830609235942,['first_derivative'],NA,NA
158,10,sub-15,ses-01,run-01,task-checker,tsCAP4,0.1381020669443763,['second_derivative'],NA,NA
159,10,sub-15,ses-02,run-01,task-checker,tsCAP4,0.13950936913540693,['second_derivative'],NA,NA
160,10,sub-15,ses-01,run-01,task-checker,tsCAP5,-0.12826337942488114,['first_derivative'],NA,NA
161,10,sub-15,ses-02,run-01,task-checker,tsCAP5,0.3194750755894883,['first_derivative'],NA,NA
162,10,sub-15,ses-01,run-01,task-checker,tsCAP6,-0.02233201242800238,['second_derivative'],NA,NA
163,10,sub-15,ses-02,run-01,task-checker,tsCAP6,0.015586438776615055,['second_derivative'],NA,NA
164,10,sub-15,ses-01,run-01,task-checker,tsCAP7,0.1408853750490308,['pupil_dilation'],NA,NA
165,10,sub-15,ses-02,run-01,task-checker,tsCAP7,0.30215527482039173,['pupil_dilation'],NA,NA
166,10,sub-15,ses-01,run-01,task-checker,tsCAP8,-0.07317222741053687,['first_derivative'],NA,NA
167,10,sub-15,ses-02,run-01,task-checker,tsCAP8,0.40351271037563025,['first_derivative'],NA,NA
168,10,sub-16,ses-02,run-01,task-checker,tsCAP1,0.38374004736026596,['pupil_dilation'],NA,NA
