,subject,session,run,task,ts_CAPS,pearson_r
111,sub-13,ses-02,run-01,task-rest,tsCAP8,-0.09166870340712141
112,sub-14,ses-01,run-01,task-rest,tsCAP1,0.12566945041361663
113,sub-14,ses-02,run-01,task-rest,tsCAP1,-0.06281309675382347
114,sub-14,ses-01,run-01,task-rest,tsCAP2,-0.014646443138622421
115,sub-14,ses-02,run-01,task-rest,tsCAP2,-0.027879067193870972
116,sub-14,ses-01,run-01,task-rest,tsCAP3,0.0125871153736668
117,sub-14,ses-02,run-01,task-rest,tsCAP3,-0.03062594275177893
118,sub-14,ses-01,run-01,task-rest,tsCAP4,-0.026656307110093244
119,sub-14,ses-02,run-01,task-rest,tsCAP4,-0.050244845810261764
120,sub-14,ses-01,run-01,task-rest,tsCAP5,0.08574418250155426
121,sub-14,ses-02,run-01,task-rest,tsCAP5,-0.15703353943155443
122,sub-14,ses-01,run-01,task-rest,tsCAP6,0.04629970607214477
123,sub-14,ses-02,run-01,task-rest,tsCAP6,-0.14887893796666868
124,sub-14,ses-01,run-01,task-rest,tsCAP7,0.03976393243098262
125,sub-14,ses-02,run-01,task-rest,tsCAP7,0.0280886454251869
126,sub-14,ses-01,run-01,task-rest,tsCAP8,0.04847910829422338
127,sub-14,ses-02,run-01,task-rest,tsCAP8,0.05157430182852155
128,sub-15,ses-01,run-01,task-rest,tsCAP1,0.13566838167541692
129,sub-15,ses-02,run-01,task-rest,tsCAP1,-0.047515625454491
130,sub-15,ses-01,run-01,task-rest,tsCAP2,0.15561196715492184
131,sub-15,ses-02,run-01,task-rest,tsCAP2,-0.021569901951049273
132,sub-15,ses-01,run-01,task-rest,tsCAP3,-0.15424385565146273
133,sub-15,ses-02,run-01,task-rest,tsCAP3,-0.009953192347369043
134,sub-15,ses-01,run-01,task-rest,tsCAP4,-0.17128345344482263
135,sub-15,ses-02,run-01,task-rest,tsCAP4,0.06543460118696377
136,sub-15,ses-01,run-01,task-rest,tsCAP5,0.3146905692287242
137,sub-15,ses-02,run-01,task-rest,tsCAP5,0.2658668582927124
138,sub-15,ses-01,run-01,task-rest,tsCAP6,0.29196552590978186
139,sub-15,ses-02,run-01,task-rest,tsCAP6,0.2698676959616552
140,sub-15,ses-01,run-01,task-rest,tsCAP7,0.23831787450917288
141,sub-15,ses-02,run-01,task-rest,tsCAP7,0.37973841140381936
142,sub-15,ses-01,run-01,task-rest,tsCAP8,0.26768570673626085
143,sub-15,ses-02,run-01,task-rest,tsCAP8,0.3912227168584488
144,sub-16,ses-01,run-01,task-rest,tsCAP1,0.017228498342211657
145,sub-16,ses-02,run-01,task-rest,tsCAP1,-0.06424523595208294
146,sub-16,ses-01,run-01,task-rest,tsCAP2,-0.047101465119729284
147,sub-16,ses-02,run-01,task-rest,tsCAP2,-0.06807419596294341
148,sub-16,ses-01,run-01,task-rest,tsCAP3,0.07701478926654154
149,sub-16,ses-02,run-01,task-rest,tsCAP3,-0.0613863012309007
150,sub-16,ses-01,run-01,task-rest,tsCAP4,0.09286636256427551
151,sub-16,ses-02,run-01,task-rest,tsCAP4,-0.029019193281998312
152,sub-16,ses-01,run-01,task-rest,tsCAP5,0.22202818252059478
153,sub-16,ses-02,run-01,task-rest,tsCAP5,-0.13949024515288458
154,sub-16,ses-01,run-01,task-rest,tsCAP6,0.24769857509704654
155,sub-16,ses-02,run-01,task-rest,tsCAP6,-0.1278078833791172
156,sub-16,ses-01,run-01,task-rest,tsCAP7,0.02240100466762512
157,sub-16,ses-02,run-01,task-rest,tsCAP7,-0.16823894948762272
158,sub-16,ses-01,run-01,task-rest,tsCAP8,0.030061439448333296
159,sub-16,ses-02,run-01,task-rest,tsCAP8,-0.18096100106817783
160,sub-18,ses-01,run-01,task-rest,tsCAP1,-0.0458308031600535
161,sub-18,ses-01,run-01,task-rest,tsCAP2,-0.02924151205911953
162,sub-18,ses-01,run-01,task-rest,tsCAP3,-0.06065192662748388
163,sub-18,ses-01,run-01,task-rest,tsCAP4,-0.01735133312560469
164,sub-18,ses-01,run-01,task-rest,tsCAP5,0.05109532986668635
165,sub-18,ses-01,run-01,task-rest,tsCAP6,0.06365059084615482
166,sub-18,ses-01,run-01,task-rest,tsCAP7,-0.057113208372555964
167,sub-18,ses-01,run-01,task-rest,tsCAP8,-0.03478111014920924
168,sub-20,ses-01,run-01,task-rest,tsCAP1,-0.003868561399199454
169,sub-20,ses-02,run-01,task-rest,tsCAP1,0.03296263404810332
170,sub-20,ses-01,run-01,task-rest,tsCAP2,-0.04371831990338238
171,sub-20,ses-02,run-01,task-rest,tsCAP2,0.029387964255710865
172,sub-20,ses-01,run-01,task-rest,tsCAP3,0.07364017525514217
173,sub-20,ses-02,run-01,task-rest,tsCAP3,0.024480008568529023
174,sub-20,ses-01,run-01,task-rest,tsCAP4,0.09503538842652916
175,sub-20,ses-02,run-01,task-rest,tsCAP4,0.021997377849046658
176,sub-20,ses-01,run-01,task-rest,tsCAP5,-0.09725721222844984
177,sub-20,ses-02,run-01,task-rest,tsCAP5,0.012983316969459514
178,sub-20,ses-01,run-01,task-rest,tsCAP6,-0.08866149885038323
179,sub-20,ses-02,run-01,task-rest,tsCAP6,0.07755276266419571
180,sub-20,ses-01,run-01,task-rest,tsCAP7,-0.04562165229751931
181,sub-20,ses-02,run-01,task-rest,tsCAP7,-0.014911473677356842
182,sub-20,ses-01,run-01,task-rest,tsCAP8,-0.05253526338168197
183,sub-20,ses-02,run-01,task-rest,tsCAP8,0.010042649198949134
184,sub-21,ses-01,run-01,task-rest,tsCAP1,0.04088414118132897
185,sub-21,ses-02,run-01,task-rest,tsCAP1,-0.31876871718915467
186,sub-21,ses-01,run-01,task-rest,tsCAP2,-2.9557809280530622e-05
187,sub-21,ses-02,run-01,task-rest,tsCAP2,0.20341215024912104
188,sub-21,ses-01,run-01,task-rest,tsCAP3,0.4342971080563997
189,sub-21,ses-02,run-01,task-rest,tsCAP3,0.42272606863251805
190,sub-21,ses-01,run-01,task-rest,tsCAP4,0.44124623133888496
191,sub-21,ses-02,run-01,task-rest,tsCAP4,0.5951225388480816
192,sub-21,ses-01,run-01,task-rest,tsCAP5,0.5143910806927265
193,sub-21,ses-02,run-01,task-rest,tsCAP5,-0.24939293312439662
194,sub-21,ses-01,run-01,task-rest,tsCAP6,0.5098617297722126
195,sub-21,ses-02,run-01,task-rest,tsCAP6,-0.04457827569362556
196,sub-21,ses-01,run-01,task-rest,tsCAP7,0.3790947930914798
197,sub-21,ses-02,run-01,task-rest,tsCAP7,0.09319232163837846
198,sub-21,ses-01,run-01,task-rest,tsCAP8,0.46569346521711424
199,sub-21,ses-02,run-01,task-rest,tsCAP8,0.2080956174389758
200,sub-22,ses-01,run-01,task-rest,tsCAP1,0.09024167194719761
201,sub-22,ses-02,run-01,task-rest,tsCAP1,-0.02068061319921448
202,sub-22,ses-01,run-01,task-rest,tsCAP2,0.07301296243436106
203,sub-22,ses-02,run-01,task-rest,tsCAP2,-0.010225604761766028
204,sub-22,ses-01,run-01,task-rest,tsCAP3,-0.03732665196153111
205,sub-22,ses-02,run-01,task-rest,tsCAP3,0.024381959777841404
206,sub-22,ses-01,run-01,task-rest,tsCAP4,-0.08578165327862759
207,sub-22,ses-02,run-01,task-rest,tsCAP4,0.017565869391673906
208,sub-22,ses-01,run-01,task-rest,tsCAP5,0.032972318643106444
209,sub-22,ses-02,run-01,task-rest,tsCAP5,-0.003178402466887237
210,sub-22,ses-01,run-01,task-rest,tsCAP6,0.06825686496971095
211,sub-22,ses-02,run-01,task-rest,tsCAP6,-0.03280198900451472
212,sub-22,ses-01,run-01,task-rest,tsCAP7,-0.12071516759045148
213,sub-22,ses-02,run-01,task-rest,tsCAP7,0.14542681472554136
214,sub-22,ses-01,run-01,task-rest,tsCAP8,-0.06009351863693018
215,sub-22,ses-02,run-01,task-rest,tsCAP8,0.1225355853929653
216,sub-04,ses-01,run-01,task-rest,tsCAP1,0.12670969641847968
217,sub-04,ses-02,run-01,task-rest,tsCAP1,0.03726599666992015
218,sub-04,ses-01,run-01,task-rest,tsCAP2,0.19783866786818266
219,sub-04,ses-02,run-01,task-rest,tsCAP2,0.023271792077388293
220,sub-04,ses-01,run-01,task-rest,tsCAP3,0.020493771615935512
221,sub-04,ses-02,run-01,task-rest,tsCAP3,-0.02919021735979598
222,sub-04,ses-01,run-01,task-rest,tsCAP4,-0.01729732681266626
223,sub-04,ses-02,run-01,task-rest,tsCAP4,0.010589084308343039
224,sub-04,ses-01,run-01,task-rest,tsCAP5,0.11756295339499061
225,sub-04,ses-02,run-01,task-rest,tsCAP5,0.1100348427262242
226,sub-04,ses-01,run-01,task-rest,tsCAP6,0.10653335542951875
227,sub-04,ses-02,run-01,task-rest,tsCAP6,0.0861771338818432
228,sub-04,ses-01,run-01,task-rest,tsCAP7,0.05979994813533181
229,sub-04,ses-02,run-01,task-rest,tsCAP7,-0.07034116419654393
230,sub-04,ses-01,run-01,task-rest,tsCAP8,0.026033231571387785
231,sub-04,ses-02,run-01,task-rest,tsCAP8,-0.04464981321289386
