,subject,session,run,task,ts_CAPS,pearson_r
75,sub-07,ses-02,run-01,task-rest,tsCAP2,0.2698722624598356
76,sub-07,ses-01,run-01,task-rest,tsCAP3,0.1525211307842169
77,sub-07,ses-02,run-01,task-rest,tsCAP3,-0.04678456297284537
78,sub-07,ses-01,run-01,task-rest,tsCAP4,0.14509698857527153
79,sub-07,ses-02,run-01,task-rest,tsCAP4,-0.04322368685491428
80,sub-07,ses-01,run-01,task-rest,tsCAP5,0.2686878050237053
81,sub-07,ses-02,run-01,task-rest,tsCAP5,0.50755686938122
82,sub-07,ses-01,run-01,task-rest,tsCAP6,0.2656514881799912
83,sub-07,ses-02,run-01,task-rest,tsCAP6,0.514802678889308
84,sub-07,ses-01,run-01,task-rest,tsCAP7,0.08338746512363684
85,sub-07,ses-02,run-01,task-rest,tsCAP7,0.4141624872088593
86,sub-07,ses-01,run-01,task-rest,tsCAP8,0.09980797497123628
87,sub-07,ses-02,run-01,task-rest,tsCAP8,0.43064241815262383
88,sub-08,ses-01,run-01,task-rest,tsCAP1,0.19714129778104253
89,sub-08,ses-02,run-01,task-rest,tsCAP1,0.010126572998110935
90,sub-08,ses-01,run-01,task-rest,tsCAP2,0.17160838666942713
91,sub-08,ses-02,run-01,task-rest,tsCAP2,-0.00510384176219702
92,sub-08,ses-01,run-01,task-rest,tsCAP3,0.11396726305336413
93,sub-08,ses-02,run-01,task-rest,tsCAP3,-0.04926810485802036
94,sub-08,ses-01,run-01,task-rest,tsCAP4,0.046725126893184525
95,sub-08,ses-02,run-01,task-rest,tsCAP4,-0.023531455084698085
96,sub-08,ses-01,run-01,task-rest,tsCAP5,0.4160265255200278
97,sub-08,ses-02,run-01,task-rest,tsCAP5,0.26969202011358
98,sub-08,ses-01,run-01,task-rest,tsCAP6,0.4037724369168445
99,sub-08,ses-02,run-01,task-rest,tsCAP6,0.3020822183343437
100,sub-08,ses-01,run-01,task-rest,tsCAP7,0.11009048372915037
101,sub-08,ses-02,run-01,task-rest,tsCAP7,0.34869933039244
