,iteration,subject,session,run,task,ts_CAPS,pearson_r
146,9,sub-02,ses-01,run-01,task-checker,tsCAP3,0.402491885810386
147,9,sub-02,ses-01,run-01,task-checker,tsCAP4,0.2521298421865313
148,9,sub-02,ses-01,run-01,task-checker,tsCAP5,0.2934259887316686
149,9,sub-02,ses-01,run-01,task-checker,tsCAP6,0.38168643614775555
150,9,sub-02,ses-01,run-01,task-checker,tsCAP7,0.2031417905170236
151,9,sub-02,ses-01,run-01,task-checker,tsCAP8,0.1263156102204331
152,10,sub-02,ses-01,run-01,task-checker,tsCAP1,0.28746778573789084
153,10,sub-02,ses-01,run-01,task-checker,tsCAP2,0.38486497705189643
154,10,sub-02,ses-01,run-01,task-checker,tsCAP3,0.30574323715449947
155,10,sub-02,ses-01,run-01,task-checker,tsCAP4,0.3802296538258468
156,10,sub-02,ses-01,run-01,task-checker,tsCAP5,0.17864674366231847
157,10,sub-02,ses-01,run-01,task-checker,tsCAP6,0.21878748902471692
158,10,sub-02,ses-01,run-01,task-checker,tsCAP7,-0.08754380149249252
159,10,sub-02,ses-01,run-01,task-checker,tsCAP8,0.06415860235981254
160,1,sub-05,ses-02,run-01,task-checker,tsCAP1,0.14395414032684856
161,1,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.03367274695679663
162,1,sub-05,ses-02,run-01,task-checker,tsCAP3,0.02982099263207205
163,1,sub-05,ses-02,run-01,task-checker,tsCAP4,-0.1338499973416924
164,1,sub-05,ses-02,run-01,task-checker,tsCAP5,-0.4161747550384276
165,1,sub-05,ses-02,run-01,task-checker,tsCAP6,-0.1733971251114805
166,1,sub-05,ses-02,run-01,task-checker,tsCAP7,-0.2832322317404495
167,1,sub-05,ses-02,run-01,task-checker,tsCAP8,-0.21997757157559802
168,2,sub-05,ses-02,run-01,task-checker,tsCAP1,0.006287767707988637
169,2,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.11109827884135934
170,2,sub-05,ses-02,run-01,task-checker,tsCAP3,0.035686874583614935
171,2,sub-05,ses-02,run-01,task-checker,tsCAP4,0.038197767319046595
172,2,sub-05,ses-02,run-01,task-checker,tsCAP5,-0.12339509620462334
173,2,sub-05,ses-02,run-01,task-checker,tsCAP6,-0.5489327500652781
174,2,sub-05,ses-02,run-01,task-checker,tsCAP7,0.003583503328850154
175,2,sub-05,ses-02,run-01,task-checker,tsCAP8,-0.2440318091950108
176,3,sub-05,ses-02,run-01,task-checker,tsCAP1,0.23761431989346957
177,3,sub-05,ses-02,run-01,task-checker,tsCAP2,0.04899367640058751
178,3,sub-05,ses-02,run-01,task-checker,tsCAP3,0.07756371013660639
179,3,sub-05,ses-02,run-01,task-checker,tsCAP4,-0.13664136181116293
180,3,sub-05,ses-02,run-01,task-checker,tsCAP5,-0.19954505863290184
181,3,sub-05,ses-02,run-01,task-checker,tsCAP6,-0.4017323457342759
182,3,sub-05,ses-02,run-01,task-checker,tsCAP7,0.00782620459801228
183,3,sub-05,ses-02,run-01,task-checker,tsCAP8,-0.2706007996961924
184,4,sub-05,ses-02,run-01,task-checker,tsCAP1,0.19941702041656167
185,4,sub-05,ses-02,run-01,task-checker,tsCAP2,0.2089311495682648
186,4,sub-05,ses-02,run-01,task-checker,tsCAP3,0.13499912863297261
187,4,sub-05,ses-02,run-01,task-checker,tsCAP4,-0.027646702517750435
188,4,sub-05,ses-02,run-01,task-checker,tsCAP5,-0.018636817215803854
189,4,sub-05,ses-02,run-01,task-checker,tsCAP6,-0.13171793990178715
190,4,sub-05,ses-02,run-01,task-checker,tsCAP7,-0.14638119119291224
191,4,sub-05,ses-02,run-01,task-checker,tsCAP8,0.3724564995769366
192,5,sub-05,ses-02,run-01,task-checker,tsCAP1,0.20821671136234898
193,5,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.0952950547612384
194,5,sub-05,ses-02,run-01,task-checker,tsCAP3,-0.050478542985233334
195,5,sub-05,ses-02,run-01,task-checker,tsCAP4,-0.553653959484964
196,5,sub-05,ses-02,run-01,task-checker,tsCAP5,0.08293214444489322
197,5,sub-05,ses-02,run-01,task-checker,tsCAP6,-0.42285805750469696
198,5,sub-05,ses-02,run-01,task-checker,tsCAP7,0.0892613144282348
199,5,sub-05,ses-02,run-01,task-checker,tsCAP8,-0.014250599188409777
200,6,sub-05,ses-02,run-01,task-checker,tsCAP1,-0.012811513986895734
201,6,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.19060895442326625
202,6,sub-05,ses-02,run-01,task-checker,tsCAP3,-0.2987021670210621
203,6,sub-05,ses-02,run-01,task-checker,tsCAP4,-0.23272106813404897
204,6,sub-05,ses-02,run-01,task-checker,tsCAP5,-0.048950707317152904
