,subject,ts_CAPS,Unnamed: 0,iteration,pearson_r
120,sub-20,tsCAP1,1912.5,5.5,0.4907936413196598
121,sub-20,tsCAP2,1914.5,5.5,0.4895834621094881
122,sub-20,tsCAP3,1916.5,5.5,0.5624119522651575
123,sub-20,tsCAP4,1918.5,5.5,0.5126441286375628
124,sub-20,tsCAP5,1920.5,5.5,-0.09168556419921667
125,sub-20,tsCAP6,1922.5,5.5,-0.11463577699069624
126,sub-20,tsCAP7,1924.5,5.5,-0.1558831274244705
127,sub-20,tsCAP8,1926.5,5.5,-0.1965602581882841
128,sub-21,tsCAP1,2036.0,5.5,0.32589522915838387
129,sub-21,tsCAP2,2037.0,5.5,0.37373340304296626
130,sub-21,tsCAP3,2038.0,5.5,0.6671353886476321
131,sub-21,tsCAP4,2039.0,5.5,0.6315130252637045
132,sub-21,tsCAP5,2040.0,5.5,0.22762714236148432
133,sub-21,tsCAP6,2041.0,5.5,0.22134511476461732
134,sub-21,tsCAP7,2042.0,5.5,0.05987166420782464
135,sub-21,tsCAP8,2043.0,5.5,0.050792738994538233
136,sub-22,tsCAP1,2152.5,5.5,0.22654098607171366
137,sub-22,tsCAP2,2154.5,5.5,0.12877845592871545
138,sub-22,tsCAP3,2156.5,5.5,0.1954413745707682
139,sub-22,tsCAP4,2158.5,5.5,0.15274102010412396
140,sub-22,tsCAP5,2160.5,5.5,0.03831120631666331
141,sub-22,tsCAP6,2162.5,5.5,-0.011611049787757613
142,sub-22,tsCAP7,2164.5,5.5,0.10544781866603607
143,sub-22,tsCAP8,2166.5,5.5,0.11466348558043474
